Date,TSE
2019/1/8,9427.24 
2019/1/9,9460.20 
2019/1/10,9591.56 
2019/1/11,9584.63 
2019/1/14,9731.11 
2019/1/15,9753.63 
2019/1/16,9737.67 
2019/1/17,9701.93 
2019/1/18,9781.35 
2019/1/21,9773.31 
2019/1/22,9781.39 
2019/1/23,9870.27 
2019/1/24,9880.54 
2019/1/25,9869.54 
2019/1/28,9865.00 
2019/1/29,9923.39 
2019/1/30,10006.46 
2019/2/11,9944.71 
2019/2/12,9915.97 
2019/2/13,10029.84 
2019/2/14,10032.08 
2019/2/15,10123.61 
2019/2/18,10095.99 
2019/2/19,10111.18 
2019/2/20,10096.94 
2019/2/21,10152.11 
2019/2/22,10181.94 
2019/2/25,10282.32 
2019/2/26,10309.02 
2019/2/27,10343.45 
2019/3/4,10403.03 
2019/3/5,10385.81 
2019/3/6,10385.25 
2019/3/7,10323.25 
2019/3/8,10328.18 
2019/3/11,10359.47 
2019/3/12,10274.28 
2019/3/13,10224.27 
2019/3/14,10294.37 
2019/3/15,10331.27 
2019/3/18,10391.30 
2019/3/19,10374.66 
2019/3/20,10455.19 
2019/3/21,10497.40 
2019/3/22,10529.30 
2019/3/25,10563.93 
2019/3/26,10642.57 
2019/3/27,10535.12 
2019/3/28,10506.68 
2019/3/29,10542.68 
2019/4/1,10529.02 
2019/4/2,10551.99 
2019/4/3,10714.68 
2019/4/8,10695.47 
2019/4/9,10725.17 
2019/4/10,10759.96 
2019/4/11,10805.39 
2019/4/12,10839.93 
2019/4/15,10869.24 
2019/4/16,10820.94 
2019/4/17,10849.84 
2019/4/18,10905.63 
2019/4/19,10961.61 
2019/4/22,11038.24 
2019/4/23,11017.69 
2019/4/24,10994.52 
2019/4/25,10994.28 
2019/4/26,11054.02 
2019/4/29,11017.73 
2019/4/30,10986.53 
2019/5/2,10952.91 
2019/5/3,10945.94 
2019/5/6,10992.76 
2019/5/7,11037.99 
2019/5/8,11005.36 
2019/5/9,10913.95 
2019/5/10,10938.47 
2019/5/13,10910.47 
2019/5/14,10751.55 
2019/5/15,10684.04 
2019/5/16,10480.21 
2019/5/17,10535.24 
2019/5/20,10556.58 
2019/5/21,10508.56 
2019/5/22,10405.36 
2019/5/23,10362.35 
2019/5/24,10481.10 
2019/5/27,10404.00 
2019/5/28,10313.15 
2019/5/29,10344.18 
2019/5/30,10348.58 
2019/5/31,10277.35 
2019/6/3,10307.12 
2019/6/4,10386.12 
2019/6/5,10482.45 
2019/6/6,10499.51 
2019/6/10,10497.50 
2019/6/11,10409.90 
2019/6/12,10486.23 
2019/6/13,10567.54 
2019/6/14,10605.75 
2019/6/17,10582.19 
2019/6/18,10546.42 
2019/6/19,10488.70 
2019/6/20,10547.15 
2019/6/21,10650.48 
2019/6/24,10749.41 
2019/6/25,10817.71 
2019/6/26,10734.25 
2019/6/27,10777.18 
2019/6/28,10661.39 
2019/7/1,10674.20 
2019/7/2,10786.66 
2019/7/3,10821.30 
2019/7/4,10878.01 
2019/7/5,10793.10 
2019/7/8,10755.87 
2019/7/9,10785.85 
2019/7/10,10742.81 
2019/7/11,10729.83 
2019/7/12,10723.23 
2019/7/15,10817.60 
2019/7/16,10855.16 
2019/7/17,10819.92 
2019/7/18,10865.00 
2019/7/19,10861.11 
2019/7/22,10821.92 
2019/7/23,10861.99 
2019/7/24,10910.50 
2019/7/25,10963.86 
2019/7/26,10969.74 
2019/7/29,10892.25 
2019/7/30,10898.25 
2019/7/31,10872.63 
2019/8/1,10909.98 
2019/8/2,10824.15 
2019/8/5,10773.06 
2019/8/6,10641.28 
2019/8/7,10528.87 
2019/8/8,10304.88 
2019/8/12,10422.89 
2019/8/13,10383.62 
2019/8/14,10491.79 
2019/8/15,10436.62 
2019/8/16,10444.50 
2019/8/19,10374.75 
2019/8/20,10345.42 
2019/8/21,10449.39 
2019/8/22,10508.42 
2019/8/23,10526.87 
2019/8/26,10560.01 
2019/8/27,10526.15 
2019/8/28,10453.40 
2019/8/29,10386.21 
2019/8/30,10397.60 
2019/9/2,10440.15 
2019/9/3,10504.28 
2019/9/4,10613.19 
2019/9/5,10629.22 
2019/9/6,10566.32 
2019/9/10,10718.40 
2019/9/11,10783.46 
2019/9/12,10808.68 
2019/9/16,10791.95 
2019/9/17,10787.65 
2019/9/18,10830.25 
2019/9/19,10822.69 
2019/9/20,10908.85 
2019/9/23,10887.42 
2019/9/24,10947.62 
2019/9/25,10908.10 
2019/9/26,10924.81 
2019/9/27,10917.44 
2019/10/1,10885.67 
2019/10/2,10909.57 
2019/10/3,10904.00 
2019/10/4,10855.60 
2019/10/7,10945.92 
2019/10/8,10866.50 
2019/10/9,10907.69 
2019/10/14,10932.24 
2019/10/15,10986.01 
2019/10/16,10976.93 
2019/10/17,11004.74 
2019/10/18,11103.50 
2019/10/21,11166.17 
2019/10/22,11156.14 
2019/10/23,11190.21 
2019/10/24,11166.24 
2019/10/25,11221.19 
2019/10/28,11266.18 
