date,open,high,low,close,volume
2018/3/1,14.56470394,14.9889183,14.56470394,14.9889183,26524028
2018/3/2,14.70610905,14.80037785,14.61183929,14.65897369,18750250
2018/3/5,14.61183929,14.70610905,14.32902908,14.32902908,21822052
2018/3/6,14.47043419,14.51756859,14.18762398,14.18762398,22552471
2018/3/7,14.23475933,14.42329884,14.18762398,14.18762398,13385876
2018/3/8,14.28189373,14.37616444,14.23475933,14.23475933,9485437
2018/3/9,14.32902908,14.70610905,14.32902908,14.56470394,19796379
2018/3/12,14.80037785,15.0360527,14.80037785,14.94178295,22648208
2018/3/13,14.94178295,14.94178295,14.75324345,14.80037785,14701778
2018/3/14,14.75324345,14.80037785,14.70610905,14.80037785,8349909
2018/3/15,14.70610905,14.80037785,14.65897369,14.70610905,7376444
2018/3/16,14.75324345,14.80037785,14.61183929,14.70610905,12324830
2018/3/19,14.75324345,15.36599827,14.70610905,15.27172756,39100220
2018/3/20,15.17745781,15.27172756,15.08318806,15.22459316,21874329
2018/3/21,14.9889183,15.13032341,14.8475132,14.9889183,34157293
2018/3/22,15.0360527,15.13032341,14.80037785,14.8475132,14316841
2018/3/23,14.42329884,14.61183929,14.42329884,14.51756859,16667131
2018/3/26,14.32902908,14.42329884,14.23475933,14.32902908,20771498
2018/3/27,14.51756859,14.61183929,14.32902908,14.42329884,11679312
2018/3/28,14.32902908,14.37616444,14.18762398,14.23475933,18757541
2018/3/29,14.28189373,14.32902908,14.14048862,14.18762398,14429146
2018/3/30,14.23475933,14.32902908,14.18762398,14.23475933,11273391
2018/4/2,14.32902908,14.42329884,14.28189373,14.32902908,7049516
2018/4/3,14.28189373,14.32902908,14.14048862,14.28189373,9484563
2018/4/9,14.28189373,14.42329884,14.23475933,14.28189373,9138618
2018/4/10,14.28189373,14.32902908,14.18762398,14.23475933,10044517
2018/4/11,14.28189373,14.32902908,14.18762398,14.18762398,10527236
2018/4/12,14.23475933,14.28189373,14.14048862,14.14048862,11600143
2018/4/13,14.18762398,14.28189373,14.14048862,14.18762398,8708740
2018/4/16,14.23475933,14.28189373,14.04621887,14.04621887,8242821
2018/4/17,14.09335423,14.14048862,13.85767937,13.85767937,15657960
2018/4/18,13.90481377,14.09335423,13.85767937,13.90481377,9325387
2018/4/19,13.99908447,14.23475933,13.99908447,14.09335423,14243247
2018/4/20,14.09335423,14.23475933,13.99908447,14.09335423,9432437
2018/4/23,14.09335423,14.23475933,14.04621887,14.04621887,8433395
2018/4/24,14.14048862,14.14048862,13.66913891,13.71627426,21949157
2018/4/25,13.66913891,13.66913891,13.43346405,13.4805994,12535045
2018/4/26,13.62200356,13.85767937,13.38632965,13.38632965,17618838
2018/4/27,13.5277338,13.57486916,13.33919525,13.4805994,16921143
2018/4/30,13.95194912,14.32902908,13.90481377,14.23475933,27659978
2018/5/2,14.28189373,14.37616444,14.14048862,14.18762398,13159383
2018/5/3,14.18762398,14.28189373,14.09335423,14.14048862,9413816
2018/5/4,14.18762398,14.23475933,14.04621887,14.14048862,11046229
2018/5/7,14.18762398,14.32902908,14.04621887,14.09335423,12072665
2018/5/8,14.09335423,14.23475933,14.04621887,14.18762398,6650879
2018/5/9,14.23475933,14.42329884,14.14048862,14.14048862,11367106
2018/5/10,14.23475933,14.23475933,14.09335423,14.09335423,10246227
2018/5/11,14.23475933,14.28189373,14.04621887,14.09335423,8523440
2018/5/14,14.09335423,14.09335423,13.66913891,13.81054401,13262782
2018/5/15,13.90481377,14.04621887,13.85767937,13.95194912,10604360
2018/5/16,13.95194912,13.99908447,13.81054401,13.95194912,7221209
2018/5/17,13.95194912,13.99908447,13.85767937,13.85767937,10482330
2018/5/18,13.85767937,14.04621887,13.85767937,14.04621887,9702797
2018/5/21,14.14048862,14.23475933,14.09335423,14.23475933,12322305
2018/5/22,14.70610905,14.8946476,14.51756859,14.51756859,42239086
2018/5/23,14.70610905,14.75324345,14.37616444,14.37616444,16095789
2018/5/24,14.42329884,14.56470394,14.32902908,14.37616444,15788425
2018/5/25,14.37616444,14.47043419,14.23475933,14.23475933,8224504
2018/5/28,14.28189373,14.61183929,14.23475933,14.47043419,11279265
2018/5/29,14.47043419,14.47043419,14.09335423,14.18762398,13808965
2018/5/30,14.18762398,14.18762398,13.85767937,13.90481377,16928556
2018/5/31,13.99908447,14.04621887,13.81054401,13.99908447,14242135
2018/6/1,13.95194912,14.09335423,13.85767937,14.04621887,6339216
2018/6/4,14.14048862,14.14048862,13.99908447,14.09335423,11931504
2018/6/5,14.14048862,14.14048862,14.04621887,14.14048862,8212886
2018/6/6,14.14048862,14.23475933,14.04621887,14.09335423,7348661
2018/6/7,14.14048862,14.18762398,13.99908447,14.09335423,8227744
2018/6/8,14.09335423,14.09335423,13.90481377,13.95194912,9956303
2018/6/11,13.95194912,13.99908447,13.76340866,13.81054401,11026820
2018/6/12,13.81054401,14.09335423,13.81054401,13.90481377,6292660
2018/6/13,13.95194912,14.04621887,13.85767937,13.90481377,5408604
2018/6/14,13.90481377,13.99908447,13.85767937,13.90481377,6714866
2018/6/15,13.99908447,13.99908447,13.85767937,13.95194912,5900209
2018/6/19,13.90481377,13.90481377,13.71627426,13.71627426,10959950
2018/6/20,13.71627426,13.76340866,13.4805994,13.5277338,16446943
2018/6/21,13.57486916,13.62200356,13.43346405,13.43346405,9357682
2018/6/22,13.43346405,13.43346405,13.2920599,13.2920599,13176077
2018/6/25,13.2920599,13.33919525,13.00924969,13.00924969,13959265
2018/6/26,12.91497993,12.96211529,12.44363022,12.53789997,23124926
2018/6/27,12.63216972,12.67930508,12.30222511,12.30222511,18187376
2018/6/28,12.25508976,12.25508976,12.06655025,12.20795536,18461261
2018/6/29,12.25508976,12.34936047,12.16082001,12.25508976,18280202
2018/7/2,12.39649487,12.67930508,12.39649487,12.58503532,16161418
2018/7/3,12.63216972,12.67930508,12.39649487,12.44363022,11401129
2018/7/4,12.44363022,12.49076462,12.30222511,12.34936047,3830062
2018/7/5,12.44363022,12.44363022,12.16082001,12.16082001,7476716
2018/7/6,12.25508976,12.30222511,12.01941586,12.11368465,10454951
2018/7/9,12.16082001,12.20795536,12.06655025,12.11368465,9900551
2018/7/10,12.20795536,12.30222511,12.16082001,12.25508976,5686104
