date,open,high,low,close,volume
2018/3/1,244,245,242,243,39719984
2018/3/2,240,241,238.5,240,35139170
2018/3/5,242.5,243,240.5,241.5,27337846
2018/3/6,245.5,250,245.5,250,34890780
2018/3/7,248,248.5,246,247,30391219
2018/3/8,249.5,251.5,249,249.5,20645694
2018/3/9,250,251,248.5,250.5,19831063
2018/3/12,252,255,251.5,254,24492615
2018/3/13,255.5,259,255,259,33756883
2018/3/14,256.5,257.5,255.5,257,23772838
2018/3/15,258,258,255,255,19396493
2018/3/16,253,256,249.5,255,62929326
2018/3/19,252.5,255.5,251,255,21440766
2018/3/20,253,254,251.5,253,21840151
2018/3/21,255,255,251,252.5,28976737
2018/3/22,254.5,254.5,249.5,251.5,27000668
2018/3/23,245,247,244,245,52498390
2018/3/26,241.5,244.5,241.5,243.5,36987945
2018/3/27,248,251,247,251,31008260
2018/3/28,247.5,248,244,245,29637411
2018/3/29,243,247,242.5,244,36165345
2018/3/30,247.5,249.5,246,246,16996346
2018/4/2,248.5,249,245,246.5,17696003
2018/4/3,243,244.5,242,244,35813944
2018/4/9,248,248,243.5,245,34694824
2018/4/10,244.5,249,243.5,245.5,25156994
2018/4/11,246.5,248.5,246.5,248,21607935
2018/4/12,248.5,248.5,244,245,20409657
2018/4/13,246,246,244,244.5,19742548
2018/4/16,243,244,242,243.5,18350139
2018/4/17,243,243.5,237.5,238,42756389
2018/4/18,239.5,241.5,236.5,238,42500048
2018/4/19,242,244.5,241,244.5,31901989
2018/4/20,228,231.5,228,229,128452087
2018/4/23,226.5,227.5,225,226.5,71009975
2018/4/24,225,227.5,225,227,40967892
2018/4/25,225.5,226,224,225,46771110
2018/4/26,225,225.5,221,222,48023557
2018/4/27,225,225.5,221,223.5,34174459
2018/4/30,224.5,228,222.5,227,28500789
2018/5/2,227,227.5,222.5,223,38167942
2018/5/3,221,222.5,220,220.5,31690731
2018/5/4,221,224,220.5,223,27208722
2018/5/7,225,225.5,221.5,223.5,23268759
2018/5/8,224,228.5,223.5,228,40324763
2018/5/9,228.5,232,228.5,229.5,33778934
2018/5/10,231,231.5,229,229.5,27530377
2018/5/11,232,234,230.5,233,30693910
2018/5/14,234.5,234.5,232.5,233,19921437
2018/5/15,233.5,234,229.5,230.5,23771769
2018/5/16,229.5,230.5,228.5,230.5,14409556
2018/5/17,231,231.5,226.5,226.5,26852737
2018/5/18,225.5,227.5,223.5,223.5,27664541
2018/5/21,225,230,225,229,16127815
2018/5/22,230,233.5,229,229,22355097
2018/5/23,231.5,231.5,228.5,228.5,23062899
2018/5/24,229.5,230,228.5,229,12996610
2018/5/25,228.5,229.5,228,228.5,15971294
2018/5/28,229.5,230,226.5,227,16373270
2018/5/29,226.5,226.5,223.5,225,23764776
2018/5/30,224,224,220.5,221,49163788
2018/5/31,221.5,224,220.5,224,96069458
2018/6/1,224.5,226.5,224,224,27617994
2018/6/4,227.5,229,227,229,25959480
2018/6/5,230,230,226.5,229,26534884
2018/6/6,229,230,227,230,24767441
